"country","biofuel_electricity","hydro_electricity","nuclear_electricity","solar_electricity","wind_electricity","other_renewable_electricity","coal_electricity","gas_electricity","oil_electricity","total_electricity","population"
"Afghanistan",0,14.576,0,0.273,0,0,0,3.856,0,18.705,12434728.3166667
"Africa",0,2950.797,404.571,49.017,88.904,103.292,7516.473,5089.356,1913.178,18115.588,366045859.733333
"Albania",0,103.528,0,0.031,0,0,0,0,0.938,104.497,1897892.35
"Algeria",0,8.53,0,1.935,0.079,0,0,910.595,0,921.139,16195533.9416667
"American Samoa",0,0,0,0,0,0,0,0,3.359,3.359,51425
"Angola",0.886,77.421,0,0.157,0,0.886,0,19.92,16.661,115.931,8857575.59166667
"Antigua and Barbuda",0,0,0,0.047,0,0,0,0,5.392,5.439,76025
"Argentina",28.947,1003.027,244.651,2.338,20.799,32.067,63.066,1651.491,330.363,3376.749,21850075.3966942
"Armenia",0,39.776,44.078,0.037,0.045,0,0,43.462,0,127.398,3029035.71428571
"Aruba",0.005,0,0,0.068,1.392,0.005,0,0,15.905,17.375,89235.2941176471
"Asia Pacific",0,28311.597,15088.92,1316.525,2847.49,2543.398,114714.039,26853.431,12597.446,204272.846,0
"Australia",62.516,550.103,0,74.711,147.437,73.952,5287.832,1003.624,137.173,7337.348,11594089.6942149
"Austria",77.281,1341.494,0,9.575,61.432,96.518,98.471,212.659,69.591,1967.021,7224779.63636364
"Azerbaijan",1.306,65.046,0,0.208,0.406,1.306,0,133.528,265.561,467.361,7896512.19512195
"Bahamas",0,0,0,0.017,0,0,0,0,36.96,36.977,300925
"Bahrain",0,0,0,0.05,0.015,0,0,427.048,0.501,427.614,359242.141666667
"Bangladesh",0.025,30.161,0,2.375,0.056,0.025,22.816,659.736,189.728,904.922,68755724.214876
"Barbados",0,0,0,0.173,0,0,0,0,18.916,19.089,270550
"Belarus",2.37,2.704,0,0.665,0.686,2.37,0,632.351,0,641.146,9508975.6097561
"Belgium",73.69,11.758,1540.445,31.473,64.543,77.478,102.901,480.95,82.246,2465.484,9011084.90909091
"Belize",1.237,3.752,0,0.007,0,1.237,0,0,0.642,6.875,252200
"Benin",0.017,0.028,0,0.025,0,0.017,0,1.92,0.947,2.954,7097000
"Bermuda",0,0,0,0,0,0,0,0,12.866,12.866,63075
"Bhutan",0,110.542,0,0.009,0.005,0,0,0,0.014,110.57,592175
"Bolivia",2.348,47.898,0,0.606,0.309,2.348,0,87.409,0,140.918,4813673.68595041
"Bosnia and Herzegovina",0.037,114.015,0,0.126,0.6,0.037,179.082,0,0,293.897,3566172.4137931
"Botswana",0,0,0,0.029,0,0,25.669,0,0,25.698,764581.425
"Brazil",643.283,10993.349,306.151,18.716,290.634,718.62,416.392,745.073,430.71,14562.928,90207599.553719
"British Virgin Islands",0,0,0,0,0.01,0,0,0,2.383,2.393,21250
"Brunei",0,0,0,0.015,0,0,0,68.482,0,68.497,145731.283333333
"Bulgaria",5.964,109.243,572.02,12.098,14.371,5.964,422.03,42.379,10.896,1194.965,6989587.41322314
"Burkina Faso",0.004,2.083,0,0.209,0,0.004,0,0,11.047,13.347,12207150
"Burundi",0.062,2.581,0,0.046,0,0.062,0,0,0.447,3.198,3899584.56666667
"Cambodia",0.458,19.826,0,0.072,0,0.458,13.682,0,14.986,49.482,11652050
"Cameroon",1.383,82.37,0,0.096,0,1.383,0,22.986,5.909,114.127,7989147.45833333
"Canada",194.44,12479.2,3063.29,28.429,276.381,286.243,2936.546,1222.502,401.879,20888.91,18792383.6033058
"Cape Verde",0,0,0,0,0,0,0,0,0,0,406837.837837838
"Cayman Islands",0,0,0,0.05,0,0,0,0,11.046,11.096,40350
"Central African Rep.",0,2.654,0,0,0,0,0,0,0.326,2.98,3546375
"Central America",0,567.883,0,6.945,27.056,141.624,0,0,0,743.508,0
"Chad",0,0,0,0,0.036,0,0,0,3.279,3.315,8963475
"Chile",76.954,684.335,0,26.883,25.787,94.319,306.033,190.012,186.451,1590.774,8940152.57024793
