"country","continent","avg_population","avg_electricity","gdp"
"China","Asia",928402557.234568,899.670567901235,3.418e+12
"India","Asia",573779654.42735,159.535487179487,1198427350427.35
"United States","Americas",186541665.094017,1013.76617948718,5307991452991.45
"Russia","Europe",139408455.578947,533.660228070175,2127754385964.91
"Indonesia","Asia",116008710.036364,29.4476454545455,418262350061.382
"Pakistan","Asia",98992865.3134328,27.6809253731343,285924805272.836
"Bangladesh","Asia",91829775.5223881,8.9824328358209,158523357642.507
"Japan","Asia",91242745.8461538,267.942803418803,1494944422308.1
"Nigeria","Africa",89731685.9701492,5.92238805970149,370752853656.836
"Brazil","Americas",87921081.6581197,102.192897435897,574114555243.214
"Germany","Europe",72764024.3760684,160.684034188034,1235888888888.89
"Ethiopia","Africa",64500405.4054054,2.39837837837838,67581292281.0811
"Vietnam","Asia",58311705.1764706,22.9198235294118,134589963971.765
"United Kingdom","Europe",51718461.2649573,97.4820598290598,901794871794.872
"Egypt","Africa",49989612.9558824,40.5178235294118,272670608715.294
"Mexico","Americas",49309026.4188034,53.8326837606838,443068741907.692
"Ukraine","Europe",48746394.7368421,171.273815789474,409394736842.105
"Italy","Europe",48492374.2905983,71.6517094017094,710244770058.94
"France","Europe",48394266.4957265,133.485367521368,827692307692.308
"Thailand","Asia",46285585.6857143,46.1663,289760825205.029
"Iran","Asia",45259703.1470588,64.7788088235294,420339162947.765
"Turkey","Asia",38695577.8,44.3744631578947,375775860838.4
"Philippines","Asia",37831592.6454545,11.0967454545455,147766030010.182
"Democratic Republic of Congo","Africa",34018000,1.89449253731343,41670874646.9254
"Poland","Europe",33700480.725,59.820025,303876968012.8
"Myanmar","Asia",32877781.961039,0,58423060347.013
"South Africa","Africa",32457208.9552239,97.144,290739381217.433
"Spain","Europe",31172251.3846154,60.9516837606838,425330099698.872
"Kenya","Africa",31102810.8108108,3.19289189189189,70964141913.946
"South Korea","Asia",30225212.8659794,96.8277835051546,403840217985.32
"Algeria","Africa",26958382.9787234,14.9625319148936,267971700942.979
"Sudan","Africa",26225567.5675676,3.13867567567568,74978746132.7568
"Uzbekistan","Asia",23691216.2162162,24.5294594594595,121537112243.892
"Tanzania","Africa",23634820.8955224,1.10735820895522,40518014800.2388
"Uganda","Africa",23516702.7027027,1.177,32443112198.9189
"Argentina","Americas",21459659.1709402,24.1441282051282,271476774395.624
