"country","green_energy","population","continent"
"Afghanistan",11.916,16009925.3731343,"Asia"
"Albania",85.435,2432598.56338028,"Europe"
"Algeria",8.447,26958382.9787234,"Africa"
"Angola",51.684,15442690.4761905,"Africa"
"Argentina",921.545,21459659.1709402,"Americas"
"Armenia",32.928,3038320,"Asia"
"Australia",644.65,11352126.9487179,"Oceania"
"Austria",1297.714,7243866.11965812,"Europe"
"Azerbaijan",59.209,7943621.62162162,"Asia"
"Bahrain",0.038,651191.489361702,"Asia"
"Bangladesh",27.561,91829775.5223881,"Asia"
"Barbados",0.066,269243.243243243,"Americas"
"Belarus",2.76,9770621.62162162,"Europe"
"Belgium",111.048,9024788.66666667,"Europe"
"Benin",0.054,6741054.05405405,"Africa"
"Bolivia",38.524,4687141.16239316,"Americas"
"Bosnia and Herzegovina",93.067,3737680,"Europe"
"Botswana",0.014,1118701.49253731,"Africa"
"Brazil",10046.188,87921081.6581197,"Americas"
"Bulgaria",111.576,7669271.7,"Europe"
"Burkina Faso",1.761,11595162.1621622,"Africa"
"Burundi",2.091,5062253.73134328,"Africa"
"Cambodia",8.704,11279351.3513514,"Asia"
"Cameroon",68.323,11076029.8507463,"Africa"
"Canada",11349.202,18484277.0598291,"Americas"
"Cape Verde",0,406837.837837838,"Africa"
"Central African Rep.",2.204,3455351.35135135,"Africa"
"Chad",0.009,8435054.05405405,"Africa"
"Chile",684.652,8765875.73504274,"Americas"
"China",13953.147,928402557.234568,"Asia"
"Colombia",1151.98,19927228.991453,"Americas"
"Comoros",0.062,526081.081081081,"Africa"
"Congo",9.724,2256074.62686567,"Africa"
"Costa Rica",144.017,3723540.54054054,"Americas"
"Cote d'Ivoire",0,10577179.1044776,"Africa"
"Croatia",176.107,4445148.14814815,"Europe"
"Cuba",11.978,6984695.39473684,"Americas"
"Cyprus",2.029,830288.461538462,"Asia"
"Czechia",117.401,10309680.8510638,"Europe"
"Dem. Rep. Congo",126.446,34018000,"Africa"
"Denmark",221.706,4337589.44444444,"Europe"
"Djibouti",0,667405.405405405,"Africa"
"Dominica",0.485,71378.3783783784,"Americas"
"Dominican Republic",25.936,8164513.51351351,"Americas"
"Ecuador",247.874,6109916.95726496,"Americas"
"Egypt",406.261,49989612.9558824,"Africa"
"El Salvador",52.054,5648540.54054054,"Americas"
"Equatorial Guinea",2.25,628054.054054054,"Africa"
"Estonia",10.684,1414968.75,"Europe"
"Eswatini",0,681313.432835821,"Africa"
"Ethiopia",86.777,64500405.4054054,"Africa"
"Finland",678.299,5008250,"Europe"
"France",2294.08,48394266.4957265,"Europe"
"Gabon",15.054,926686.567164179,"Africa"
"Gambia",0.031,1289405.40540541,"Africa"
"Georgia",121.34,4390160,"Asia"
"Germany",2040.4,72764024.3760684,"Europe"
"Ghana",105.355,13672880.8235294,"Africa"
"Greece",185.714,8151973.1965812,"Europe"
"Guatemala",86.556,6555104.73195876,"Americas"
"Guinea",9.306,7930297.2972973,"Africa"
"Guinea-Bissau",0.002,1197081.08108108,"Africa"
"Haiti",3.299,8201621.62162162,"Americas"
"Honduras",46.81,6325378.37837838,"Americas"
"Hong Kong",0.379,5597942.30769231,"Asia"
"Hungary",36.345,9765554.04255319,"Europe"
"Iceland",300.58,258730.769230769,"Europe"
"India",3340.901,573779654.42735,"Asia"
"Indonesia",478.98,116008710.036364,"Asia"
"Iran",308.17,45259703.1470588,"Asia"
"Iraq",116.468,16394595.0882353,"Asia"
"Ireland",75.358,3306780.81443299,"Europe"
"Israel",6.178,4237149.25373134,"Asia"
"Italy",1895.373,48492374.2905983,"Europe"
"Jamaica",4.004,2583027.02702703,"Americas"
"Japan",3865.662,91242745.8461538,"Asia"
"Jordan",1.962,5136081.08108108,"Asia"
"Kazakhstan",241.821,15866432.4324324,"Asia"
"Kenya",84.132,31102810.8108108,"Africa"
"Kuwait",0.073,2090930.23255814,"Asia"
"Kyrgyzstan",209.18,5123120,"Asia"
"Laos",129.242,5063270.27027027,"Asia"
"Latvia",100.481,2357343.75,"Europe"
"Lebanon",12.195,3946513.51351351,"Asia"
"Lesotho",8.041,1840081.08108108,"Africa"
"Liberia",0,2826432.43243243,"Africa"
"Libya",0.051,3645089.55223881,"Africa"
"Lithuania",20.208,3415810.81081081,"Europe"
"Luxembourg",6.083,410250,"Europe"
"Madagascar",12.05,11223582.0895522,"Africa"
"Malawi",26.551,11075000,"Africa"
"Malaysia",230.211,12283221.7843137,"Asia"
"Mali",12.934,11189000,"Africa"
"Malta",0.384,384324.324324324,"Europe"
"Mauritania",1.934,2626135.13513514,"Africa"
"Mauritius",9.734,1141513.51351351,"Africa"
"Mexico",1143.501,49309026.4188034,"Americas"
"Moldova",5.818,4184480,"Europe"
"Mongolia",0.996,1811447.76119403,"Asia"
"Montenegro",19.469,620529.411764706,"Europe"
"Morocco",55.82,21389506.6323529,"Africa"
"Mozambique",243.301,13479104.4776119,"Africa"
"Myanmar",0,32877781.961039,"Asia"
"Namibia",24.874,1889148.14814815,"Africa"
"Nepal",49.076,17121952.5588235,"Asia"
"Netherlands",170.04,11216890.5641026,"Europe"
"New Zealand",902.441,3560461.53846154,"Oceania"
"Nicaragua",21.209,4844837.83783784,"Americas"
"Niger",0.017,8150194.02985075,"Africa"
"Nigeria",107.723,89731685.9701492,"Africa"
"North Korea",196.293,17683018.3283582,"Asia"
"North Macedonia",31.987,2038666.66666667,"Europe"
"Norway",3872.055,3528871.54700855,"Europe"
"Oman",0.01,1597716.41791045,"Asia"
"Pakistan",791.969,98992865.3134328,"Asia"
"Palestine",0,3705526.31578947,"Asia"
