"continent","category","percent"
"Africa","hydro_electricity",0.16
"Americas","hydro_electricity",0.21
"Asia","hydro_electricity",0.14
"Europe","hydro_electricity",0.15
"Oceania","hydro_electricity",0.14
"Africa","solar_electricity",0.01
"Americas","solar_electricity",0.01
"Asia","solar_electricity",0.01
"Europe","solar_electricity",0.02
"Oceania","solar_electricity",0.02
"Africa","wind_electricity",0.01
"Americas","wind_electricity",0.05
"Asia","wind_electricity",0.03
"Europe","wind_electricity",0.06
"Oceania","wind_electricity",0.05
"Africa","other_renewable_electricity",0.01
"Americas","other_renewable_electricity",0.03
"Asia","other_renewable_electricity",0.02
"Europe","other_renewable_electricity",0.04
"Oceania","other_renewable_electricity",0.04
